,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2020Happiness,2020GDP,2020Generosity,2020Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
0,Switzerland,Western Europe,7.587,1.39651,0.29678,0.41978,7.509,1.52733,0.28083,0.41203,7.493999958,1.564979553,0.290549278,0.367007285,7.487,1.42,0.256,0.357,7.48,1.452,0.263,0.343,7.559899807,1.39077425,0.269055754,0.303728431,7.571,1.566,0.204,0.292
1,Iceland,Western Europe,7.561,1.30232,0.4363,0.14145,7.501,1.42666,0.47678,0.14975,7.504000187,1.48063302,0.475540221,0.153526559,7.495,1.343,0.353,0.138,7.494,1.38,0.354,0.118,7.504499912,1.326501608,0.362330228,0.711709738,7.554,1.482,0.293,0.673
2,Denmark,Western Europe,7.527,1.32548,0.34139,0.48357,7.526,1.44178,0.36171,0.44453,7.521999836,1.482383013,0.355280489,0.400770068,7.555,1.351,0.284,0.408,7.6,1.383,0.252,0.41,7.645599842,1.326948524,0.242793396,0.168489456,7.62,1.502,0.208,0.179
3,Norway,Western Europe,7.522,1.459,0.34699,0.36503,7.498,1.57744,0.37895,0.35776,7.537000179,1.616463184,0.362012237,0.315963835,7.594,1.456,0.286,0.34,7.554,1.488,0.271,0.341,7.487999916,1.42420733,0.287985086,0.263218194,7.392,1.543,0.249,0.27
4,Canada,North America,7.427,1.32629,0.45811,0.32957,7.404,1.44015,0.44834,0.31329,7.315999985,1.479204416,0.435539722,0.287371516,7.328,1.33,0.321,0.291,7.278,1.365,0.285,0.308,7.23210001,1.301647663,0.28152892,0.390843362,7.103,1.447,0.246,0.415
5,Finland,Western Europe,7.406,1.29025,0.23351,0.41372,7.413,1.40598,0.25492,0.41004,7.468999863,1.443571925,0.245482773,0.382611543,7.632,1.305,0.202,0.393,7.769,1.34,0.153,0.393,7.808700085,1.285189509,0.159670442,0.195444584,7.842,1.446,0.124,0.186
6,Netherlands,Western Europe,7.378,1.32944,0.4761,0.31814,7.339,1.46468,0.47416,0.29927,7.376999855,1.503944635,0.47048983,0.282661825,7.441,1.361,0.333,0.295,7.488,1.396,0.322,0.298,7.448900223,1.338946342,0.336317569,0.364717126,7.464,1.501,0.302,0.338
7,Sweden,Western Europe,7.364,1.33171,0.36262,0.43844,7.291,1.45181,0.38254,0.40867,7.28399992,1.494387269,0.385399252,0.384398729,7.314,1.355,0.285,0.383,7.343,1.387,0.267,0.373,7.353499889,1.322235227,0.272827893,0.250880182,7.363,1.478,0.244,0.237
8,New Zealand,Australia and New Zealand,7.286,1.25018,0.47501,0.42922,7.334,1.36066,0.49401,0.41904,7.31400013,1.405706048,0.500005126,0.382816702,7.324,1.268,0.365,0.389,7.307,1.303,0.33,0.38,7.299600124,1.242317915,0.325726211,0.22113885,7.277,1.4,0.276,0.242
9,Australia,Australia and New Zealand,7.284,1.33358,0.43562,0.35637,7.313,1.44443,0.47407,0.32331,7.28399992,1.484414935,0.47769925,0.30118373,7.272,1.34,0.361,0.302,7.228,1.372,0.332,0.29,7.222799778,1.310396433,0.324973613,0.41516912,7.183,1.453,0.291,0.442
