,Country,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score_x,GDP_x,Generosity_x,Year_x,Happiness Score_y,GDP_y,Generosity_y,Year_y,Happiness Score,GDP,Generosity,Year
0,Switzerland,7.587000000000001,1.3965100000000001,0.29678000000000004,2015,7.5089999999999995,1.5273299999999999,0.28083,2016,7.49399995803833,1.5649795532226598,0.29054927825927696,2017,7.487,1.42,0.256,2018,7.48,1.452,0.263,2019,7.559899807000001,1.39077425,0.269055754,2020,7.571000000000001,1.5659999999999998,0.204,2021
1,Iceland,7.561,1.3023200000000001,0.4363,2015,7.501,1.42666,0.47678000000000004,2016,7.50400018692017,1.480633020401,0.47554022073745705,2017,7.495,1.3430000000000002,0.353,2018,7.494,1.38,0.354,2019,7.504499912000001,1.326501608,0.362330228,2020,7.553999999999999,1.482,0.293,2021
2,Denmark,7.527,1.32548,0.34139,2015,7.526,1.4417799999999998,0.36171,2016,7.52199983596802,1.48238301277161,0.3552804887294771,2017,7.555,1.351,0.284,2018,7.6,1.383,0.252,2019,7.645599842,1.326948524,0.24279339600000002,2020,7.62,1.5019999999999998,0.20800000000000002,2021
3,Norway,7.522,1.459,0.34699,2015,7.497999999999999,1.57744,0.37895,2016,7.537000179290769,1.6164631843566901,0.36201223731041,2017,7.593999999999999,1.456,0.28600000000000003,2018,7.553999999999999,1.4880000000000002,0.271,2019,7.487999916000001,1.42420733,0.287985086,2020,7.392,1.5430000000000001,0.249,2021
4,Canada,7.4270000000000005,1.32629,0.45811,2015,7.404,1.44015,0.44833999999999996,2016,7.31599998474121,1.47920441627502,0.435539722442627,2017,7.327999999999999,1.33,0.321,2018,7.278,1.365,0.285,2019,7.23210001,1.301647663,0.28152892,2020,7.103,1.4469999999999998,0.24600000000000002,2021
5,Finland,7.406000000000001,1.29025,0.23351,2015,7.412999999999999,1.40598,0.25492,2016,7.468999862670901,1.44357192516327,0.24548277258873,2017,7.632000000000001,1.305,0.20199999999999999,2018,7.769,1.34,0.153,2019,7.808700085,1.285189509,0.159670442,2020,7.8420000000000005,1.446,0.124,2021
6,Netherlands,7.377999999999999,1.32944,0.4761,2015,7.3389999999999995,1.46468,0.47416,2016,7.3769998550415,1.50394463539124,0.47048982977867104,2017,7.441,1.361,0.33299999999999996,2018,7.4879999999999995,1.396,0.322,2019,7.448900223,1.338946342,0.336317569,2020,7.4639999999999995,1.501,0.302,2021
7,Sweden,7.364,1.33171,0.36262,2015,7.291,1.45181,0.38254,2016,7.28399991989136,1.49438726902008,0.38539925217628496,2017,7.314,1.355,0.285,2018,7.343,1.3869999999999998,0.267,2019,7.353499889,1.322235227,0.272827893,2020,7.3629999999999995,1.4780000000000002,0.244,2021
8,New Zealand,7.2860000000000005,1.2501799999999998,0.47501000000000004,2015,7.334,1.36066,0.49401000000000006,2016,7.31400012969971,1.40570604801178,0.500005125999451,2017,7.324,1.268,0.365,2018,7.307,1.3030000000000002,0.33,2019,7.2996001239999995,1.242317915,0.325726211,2020,7.277,1.4,0.276,2021
9,Australia,7.284,1.33358,0.43562,2015,7.313,1.4444299999999999,0.47407,2016,7.28399991989136,1.4844149351120002,0.47769924998283403,2017,7.272,1.34,0.361,2018,7.228,1.3719999999999999,0.332,2019,7.222799778,1.310396433,0.324973613,2020,7.183,1.453,0.29100000000000004,2021
10,Israel,7.278,1.2285700000000002,0.33171999999999996,2015,7.267,1.33766,0.32288,2016,7.212999820709231,1.3753824234008798,0.330082654953003,2017,6.814,1.301,0.354,2018,7.138999999999999,1.276,0.261,2019,7.128600121,1.216463685,0.26686179600000004,2020,7.157,1.376,0.20800000000000002,2021
