,Country,Region,2015Happiness,2015GDP,2015Generosity,2015Trust (Government Corruption),2016Happiness,2016GDP,2016Generosity,2016Trust (Government Corruption),2017Happiness,2017GDP,2017Generosity,2017Trust (Government Corruption),2018Happiness,2018GDP,2018Generosity,2018Trust (Government Corruption),2019Happiness,2019GDP,2019Generosity,2019Trust (Government Corruption),2021Happiness,2021GDP,2021Generosity,2021Trust (Government Corruption)
0,Switzerland,Western Europe,7.587000000000001,1.3965100000000001,0.29678000000000004,0.41978000000000004,7.5089999999999995,1.5273299999999999,0.28083,0.41203,7.49399995803833,1.5649795532226598,0.29054927825927696,0.36700728535652205,7.487,1.42,0.256,0.35700000000000004,7.48,1.452,0.263,0.34299999999999997,7.571000000000001,1.5659999999999998,0.204,0.292
1,Iceland,Western Europe,7.561,1.3023200000000001,0.4363,0.14145,7.501,1.42666,0.47678000000000004,0.14975,7.50400018692017,1.480633020401,0.47554022073745705,0.15352655947208402,7.495,1.3430000000000002,0.353,0.138,7.494,1.38,0.354,0.11800000000000001,7.553999999999999,1.482,0.293,0.6729999999999999
2,Denmark,Western Europe,7.527,1.32548,0.34139,0.48357,7.526,1.4417799999999998,0.36171,0.44453000000000004,7.52199983596802,1.48238301277161,0.3552804887294771,0.40077006816863997,7.555,1.351,0.284,0.408,7.6,1.383,0.252,0.41,7.62,1.5019999999999998,0.20800000000000002,0.179
3,Norway,Western Europe,7.522,1.459,0.34699,0.36503,7.497999999999999,1.57744,0.37895,0.35775999999999997,7.537000179290769,1.6164631843566901,0.36201223731041,0.31596383452415505,7.593999999999999,1.456,0.28600000000000003,0.34,7.553999999999999,1.4880000000000002,0.271,0.341,7.392,1.5430000000000001,0.249,0.27
4,Canada,North America,7.4270000000000005,1.32629,0.45811,0.32957,7.404,1.44015,0.44833999999999996,0.31329,7.31599998474121,1.47920441627502,0.435539722442627,0.287371516227722,7.327999999999999,1.33,0.321,0.29100000000000004,7.278,1.365,0.285,0.308,7.103,1.4469999999999998,0.24600000000000002,0.415
5,Finland,Western Europe,7.406000000000001,1.29025,0.23351,0.41372,7.412999999999999,1.40598,0.25492,0.41003999999999996,7.468999862670901,1.44357192516327,0.24548277258873,0.38261154294014,7.632000000000001,1.305,0.20199999999999999,0.39299999999999996,7.769,1.34,0.153,0.39299999999999996,7.8420000000000005,1.446,0.124,0.18600000000000003
6,Netherlands,Western Europe,7.377999999999999,1.32944,0.4761,0.31814000000000003,7.3389999999999995,1.46468,0.47416,0.29927,7.3769998550415,1.50394463539124,0.47048982977867104,0.282661825418472,7.441,1.361,0.33299999999999996,0.295,7.4879999999999995,1.396,0.322,0.298,7.4639999999999995,1.501,0.302,0.33799999999999997
7,Sweden,Western Europe,7.364,1.33171,0.36262,0.43843999999999994,7.291,1.45181,0.38254,0.40867,7.28399991989136,1.49438726902008,0.38539925217628496,0.384398728609085,7.314,1.355,0.285,0.38299999999999995,7.343,1.3869999999999998,0.267,0.373,7.3629999999999995,1.4780000000000002,0.244,0.237
8,New Zealand,Australia and New Zealand,7.2860000000000005,1.2501799999999998,0.47501000000000004,0.42922,7.334,1.36066,0.49401000000000006,0.41903999999999997,7.31400012969971,1.40570604801178,0.500005125999451,0.38281670212745705,7.324,1.268,0.365,0.389,7.307,1.3030000000000002,0.33,0.38,7.277,1.4,0.276,0.242
9,Australia,Australia and New Zealand,7.284,1.33358,0.43562,0.35636999999999996,7.313,1.4444299999999999,0.47407,0.32331,7.28399991989136,1.4844149351120002,0.47769924998283403,0.301183730363846,7.272,1.34,0.361,0.302,7.228,1.3719999999999999,0.332,0.29,7.183,1.453,0.29100000000000004,0.442
10,Israel,Middle East and Northern Africa,7.278,1.2285700000000002,0.33171999999999996,0.07785,7.267,1.33766,0.32288,0.08728,7.212999820709231,1.3753824234008798,0.330082654953003,0.0852421000599861,6.814,1.301,0.354,0.272,7.138999999999999,1.276,0.261,0.08199999999999999,7.157,1.376,0.20800000000000002,0.753
11,Costa Rica,Latin America and Caribbean,7.226,0.95578,0.25497,0.10583,7.087000000000001,1.06879,0.22553,0.10547000000000001,7.0789999961853,1.10970628261566,0.21461322903633104,0.100106589496136,7.072,1.01,0.14300000000000002,0.10099999999999999,7.167000000000001,1.034,0.14400000000000002,0.09300000000000001,7.069,1.1340000000000001,0.105,0.809
12,Austria,Western Europe,7.2,1.33723,0.33088,0.18675999999999998,7.119,1.45038,0.32865,0.21348000000000003,7.00600004196167,1.4870972633361799,0.316472321748734,0.22106036543846105,7.138999999999999,1.341,0.242,0.22399999999999998,7.246,1.376,0.244,0.226,7.268,1.492,0.215,0.48100000000000004
13,Mexico,Latin America and Caribbean,7.187,1.02054,0.14074,0.21311999999999998,6.778,1.1150799999999998,0.11735,0.18355,6.57800006866455,1.1531838178634601,0.12099043279886199,0.132774114608765,6.4879999999999995,1.038,0.069,0.095,6.595,1.07,0.07400000000000001,0.073,6.317,1.126,0.092,0.799
14,United States,North America,7.119,1.3945100000000001,0.40105,0.1589,7.104,1.50796,0.41076999999999997,0.14868,6.993000030517581,1.54625928401947,0.392578780651093,0.135638788342476,6.886,1.3980000000000001,0.29100000000000004,0.133,6.892,1.433,0.28,0.128,6.9510000000000005,1.5330000000000001,0.252,0.698
15,Brazil,Latin America and Caribbean,6.983,0.98124,0.14574,0.17521,6.952000000000001,1.08754,0.15775999999999998,0.14165999999999998,6.6350002288818395,1.1073532104492199,0.16234989464282998,0.11109276115894301,6.419,0.986,0.11,0.08800000000000001,6.3,1.004,0.099,0.086,6.33,1.028,0.142,0.7559999999999999
16,Luxembourg,Western Europe,6.946000000000001,1.5639100000000001,0.28034000000000003,0.37798000000000004,6.871,1.6975200000000001,0.27571,0.35329,6.86299991607666,1.74194359779358,0.283180981874466,0.31883442401886,6.91,1.5759999999999998,0.196,0.321,7.09,1.609,0.19399999999999998,0.316,7.324,1.751,0.166,0.386
17,Ireland,Western Europe,6.94,1.33596,0.45901000000000003,0.28703,6.907,1.4834100000000001,0.44963000000000003,0.29754,6.9770002365112305,1.5357066392898602,0.42785832285881,0.29838815331459007,6.977,1.4480000000000002,0.307,0.306,7.021,1.499,0.298,0.31,7.085,1.6440000000000001,0.23800000000000002,0.363
18,Belgium,Western Europe,6.937,1.30782,0.2225,0.2254,6.928999999999999,1.42539,0.2424,0.26248,6.89099979400635,1.4637807607650801,0.23150333762168898,0.251343131065369,6.9270000000000005,1.324,0.188,0.24,6.922999999999999,1.3559999999999999,0.16,0.21,6.834,1.463,0.08800000000000001,0.6459999999999999
19,United Kingdom,Western Europe,6.867000000000001,1.26637,0.51912,0.32066999999999996,6.725,1.40283,0.50156,0.27399,6.71400022506714,1.44163393974304,0.492774158716202,0.265428066253662,7.19,1.244,0.262,0.08199999999999999,7.053999999999999,1.3330000000000002,0.348,0.278,7.064,1.423,0.34,0.45899999999999996
20,Venezuela,Latin America and Caribbean,6.81,1.04424,0.058410000000000004,0.11069000000000001,6.084,1.1336700000000002,0.0425,0.08304,5.25,1.12843120098114,0.0650196298956871,0.0644911229610443,4.806,0.996,0.055999999999999994,0.052000000000000005,4.707,0.96,0.064,0.047,4.8919999999999995,0.852,0.078,0.8270000000000001
21,Singapore,Southeastern Asia,6.797999999999999,1.52186,0.31105,0.4921,6.739,1.64555,0.32706,0.46986999999999995,6.57200002670288,1.69227766990662,0.345965981483459,0.46430778503417997,6.343,1.5290000000000001,0.261,0.457,6.2620000000000005,1.5719999999999998,0.271,0.45299999999999996,6.377000000000001,1.695,0.17600000000000002,0.08199999999999999
22,Panama,Latin America and Caribbean,6.7860000000000005,1.0635299999999999,0.24434,0.0927,6.7010000000000005,1.18306,0.2418,0.08423,6.4520001411438,1.23374843597412,0.21055693924427,0.070983923971653,6.43,1.112,0.125,0.063,6.321000000000001,1.149,0.109,0.054000000000000006,6.18,1.298,0.079,0.856
23,Germany,Western Europe,6.75,1.32792,0.28214,0.21843,6.994,1.44787,0.30451999999999996,0.28551,6.9510002136230495,1.48792338371277,0.33626917004585305,0.276731938123703,6.965,1.34,0.273,0.28,6.985,1.3730000000000002,0.261,0.265,7.155,1.48,0.195,0.46
